"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","157","157","157"
"24576","187","187","187"
"36864","181","181","181"
"49152","186","186","186"
"61440","144","144","144"
"73728","88","88","88"
"86016","54","54","54"
"98304","41","41","41"
"110592","43","43","43"
"122880","29","29","29"
"135168","36","36","36"
"147456","25","25","25"
"159744","22","22","22"
"172032","16","16","16"
"184320","21","21","21"
"196608","15","15","15"
"208896","17","17","17"
"221184","11","11","11"
"233472","26","26","26"
"245760","15","15","15"
"258048","12","12","12"
"270336","12","12","12"
"282624","8","8","8"
"294912","9","9","9"
"307200","4","4","4"
"319488","11","11","11"
"331776","12","12","12"
"344064","12","12","12"
"356352","11","11","11"
"368640","1","1","1"
"380928","13","13","13"
"393216","6","6","6"
"405504","10","10","10"
"417792","3","3","3"
"430080","4","4","4"
"442368","3","3","3"
"454656","3","3","3"
"466944","5","5","5"
"479232","6","6","6"
"491520","5","5","5"
"503808","4","4","4"
"516096","5","5","5"
"528384","11","11","11"
"540672","3","3","3"
"552960","6","6","6"
"565248","3","3","3"
"577536","5","5","5"
"589824","4","4","4"
"602112","4","4","4"
"614400","5","5","5"
"626688","4","4","4"
"638976","3","3","3"
"651264","2","2","2"
"663552","2","2","2"
"675840","4","4","4"
"688128","3","3","3"
"700416","3","3","3"
"712704","3","3","3"
"724992","5","5","5"
"737280","2","2","2"
"749568","3","3","3"
"761856","1","1","1"
"774144","2","2","2"
"786432","4","4","4"
"798720","2","2","2"
"811008","5","5","5"
"823296","3","3","3"
"835584","1","1","1"
"847872","1","1","1"
"860160","2","2","2"
"872448","0","0","0"
"884736","1","1","1"
"897024","1","1","1"
"909312","1","1","1"
"921600","0","0","0"
"933888","4","4","4"
"946176","1","1","1"
"958464","1","1","1"
"970752","0","0","0"
"983040","2","2","2"
"995328","0","0","0"
"1007616","1","1","1"
"1019904","1","1","1"
"1032192","1","1","1"
"1044480","2","2","2"
"1056768","1","1","1"
"1069056","1","1","1"
"1081344","1","1","1"
"1093632","2","2","2"
"1105920","1","1","1"
"1118208","0","0","0"
"1130496","2","2","2"
"1142784","1","1","1"
"1155072","3","3","3"
"1167360","1","1","1"
"1179648","2","2","2"
"1191936","1","1","1"
"1204224","3","3","3"
"1216512","2","2","2"
"1228800","0","0","0"
"1241088","1","1","1"
"1253376","1","1","1"
"1265664","2","2","2"
"1277952","2","2","2"
"1290240","2","2","2"
"1302528","2","2","2"
"1314816","0","0","0"
"1327104","0","0","0"
"1339392","0","0","0"
"1351680","0","0","0"
"1363968","1","1","1"
"1376256","1","1","1"
"1388544","1","1","1"
"1400832","2","2","2"
"1413120","1","1","1"
"1425408","2","2","2"
"1437696","0","0","0"
"1449984","0","0","0"
"1462272","0","0","0"
"1474560","1","1","1"
"1486848","1","1","1"
"1499136","0","0","0"
"1511424","0","0","0"
"1523712","0","0","0"
"1536000","1","1","1"
"1548288","0","0","0"
"1560576","0","0","0"
"1572864","0","0","0"
"1585152","1","1","1"
"1597440","0","0","0"
"1609728","0","0","0"
"1622016","2","2","2"
"1634304","0","0","0"
"1646592","0","0","0"
"1658880","0","0","0"
"1671168","0","0","0"
"1683456","0","0","0"
"1695744","0","0","0"
"1708032","0","0","0"
"1720320","0","0","0"
"1732608","0","0","0"
"1744896","0","0","0"
"1757184","1","1","1"
"1769472","1","1","1"
"1781760","0","0","0"
"1794048","2","2","2"
"1806336","0","0","0"
"1818624","0","0","0"
"1830912","1","1","1"
"1843200","0","0","0"
"1855488","0","0","0"
"1867776","0","0","0"
"1880064","0","0","0"
"1892352","1","1","1"
"1904640","1","1","1"
"1916928","0","0","0"
"1929216","0","0","0"
"1941504","1","1","1"
"1953792","1","1","1"
"1966080","1","1","1"
"1978368","0","0","0"
"1990656","0","0","0"
"2002944","0","0","0"
"2015232","0","0","0"
"2027520","1","1","1"
"2039808","2","2","2"
"2052096","0","0","0"
"2064384","1","1","1"
"2076672","0","0","0"
"2088960","0","0","0"
"2101248","0","0","0"
"2113536","0","0","0"
"2125824","0","0","0"